municipality,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
Adjuntas,ppd,ppd,ppd,pnp,pnp,ppd,ppd,pnp,pnp,pnp,pnp,ppd
Aguada,pnp,pnp,pnp,pnp,pnp,pnp,ppd,pnp,pnp,ppd,pnp,ppd
Aguadilla,pnp,ppd,ppd,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,ppd
Aguas Buenas,ppd,ppd,ppd,pnp,pnp,pnp,pnp,ppd,ppd,ppd,pnp,pnp
Aibonito,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,pnp,pnp,pnp,pnp
Añasco,ppd,ppd,ppd,pnp,pnp,pnp,pnp,pnp,ppd,ppd,pnp,pnp
Arecibo,pnp,pnp,ppd,pnp,pnp,pnp,ppd,pnp,pnp,pnp,ppd,ppd
Arroyo,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,ppd,pnp,ppd
Barceloneta,pnp,pnp,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,pnp,ppd
Barranquitas,pnp,pnp,ppd,ppd,pnp,pnp,pnp,pnp,pnp,pnp,ppd,pnp
Bayamón,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp
Cabo Rojo,ppd,ppd,ppd,independent,ppd,pnp,pnp,pnp,pnp,ppd,ppd,pnp
Caguas,pnp,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd
Camuy,ppd,ppd,ppd,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp
Canóvanas,ppd,ppd,ppd,ppd,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp
Carolina,ppd,pnp,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd
Cataño,pnp,pnp,pnp,pnp,pnp,ppd,pnp,pnp,ppd,ppd,ppd,pnp
Cayey,ppd,pnp,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd
Ceiba,pnp,pnp,ppd,ppd,pnp,ppd,ppd,ppd,pnp,pnp,pnp,pnp
Ciales,pnp,pnp,pnp,ppd,pnp,pnp,pnp,pnp,pnp,ppd,pnp,pnp
Cidra,ppd,pnp,ppd,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,ppd
Coamo,pnp,ppd,ppd,ppd,ppd,pnp,ppd,ppd,ppd,ppd,ppd,ppd
Comerío,ppd,ppd,ppd,ppd,pnp,pnp,ppd,ppd,ppd,ppd,ppd,ppd
Corozal,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,ppd,ppd,pnp
Culebra,ppd,ppd,ppd,ppd,ppd,pnp,ppd,pnp,pnp,ppd,ppd,pnp
Dorado,ppd,ppd,ppd,ppd,pnp,ppd,ppd,ppd,ppd,ppd,pnp,ppd
Fajardo,pnp,pnp,ppd,pnp,ppd,pnp,pnp,pnp,pnp,pnp,pnp,pnp
Florida,ppd,pnp,ppd,ppd,ppd,pnp,ppd,pnp,pnp,pnp,pnp,pnp
Guánica,ppd,ppd,ppd,ppd,pnp,pnp,ppd,ppd,ppd,pnp,pnp,ppd
Guayama,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,pnp,ppd,ppd,ppd
Guayanilla,ppd,ppd,ppd,pnp,pnp,pnp,ppd,ppd,ppd,ppd,ppd,pnp
Guaynabo,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp
Gurabo,ppd,ppd,ppd,ppd,pnp,pnp,ppd,pnp,pnp,pnp,pnp,pnp
Hatillo,ppd,ppd,pnp,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd
Hormigueros,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,pnp,ppd,ppd,ppd
Humacao,ppd,ppd,ppd,ppd,pnp,pnp,ppd,ppd,ppd,ppd,ppd,pnp
Isabela,ppd,ppd,ppd,pnp,pnp,pnp,ppd,ppd,ppd,ppd,ppd,ppd
Jayuya,pnp,pnp,ppd,ppd,pnp,ppd,ppd,ppd,ppd,ppd,ppd,ppd
Juana Díaz,pnp,pnp,ppd,ppd,pnp,pnp,ppd,ppd,ppd,ppd,ppd,ppd
Juncos,pnp,pnp,pnp,ppd,pnp,pnp,ppd,ppd,ppd,ppd,ppd,ppd
Lajas,ppd,ppd,ppd,ppd,ppd,ppd,ppd,ppd,pnp,ppd,ppd,pnp
Lares,ppd,ppd,pnp,pnp,pnp,ppd,ppd,pnp,pnp,pnp,pnp,ppd
Las Marías,ppd,ppd,pnp,ppd,ppd,pnp,pnp,pnp,pnp,ppd,pnp,pnp
Las Piedras,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp,pnp
Loíza,pnp,pnp,ppd,pnp,pnp,pnp,pnp,pnp,pnp,pnp,ppd,ppd
