year,municipality,party_win,name_winner,winner_gender,ppd_votes,ppd_per,pnp_votes,pnp_per,pip_votes,pip_per,mvc_votes,mvc_per,pd_votes,pd_per,psp_votes,psp_per,indies_votes,indies_per,write_in_votes,write_in_per,ppt_votes,ppt_per,mus_votes,mus_per,local_votes,local_per,total
2020,Adjuntas,ppd,José Hiram Soto Rivera,male,"4,263",50.1,"4,001",47,240,2.8,,,,,,,,,,,,,,,,,"8,698"
2020,Aguada,ppd,Christian Cortés,male,"10,362",58.4,"6,966",39.2,423,2.4,,,,,,,,,,,,,,,,,"18,045"
2020,Aguadilla,ppd,Julio Roldán Concepción,male,"8,863",46.8,"8,808",46.5,"1,018",5.4,,,,,,,238,1.3,,,,,,,,,"19,378"
2020,Aguas Buenas,pnp,Javier García Pérez,male,"1,200",2,"5,429",54.3,"1,150",11.5,,,,,,,"2,228",22.3,,,,,,,,,"10,276"
2020,Aibonito,pnp,William Alicea Pérez,male,"3,696",34.7,"6,447",60.5,521,4.9,,,,,,,,,,,,,,,,,"10,860"
2020,Añasco,pnp,Kabir Solares,male,"4,516",40,"6,168",54.6,192,1.7,411,3.6,,,,,8,0.1,,,,,,,,,"11,378"
2020,Arecibo,ppd,Carlos Ramirez Irizarry,male,"19,903",61.2,"10,951",33.7,"1,651",5.1,,,,,,,,,,,,,,,,,"33,665"
2020,Arroyo,ppd,Eric Bachier Román,male,"4,886",81,855,14.2,294,4.9,,,,,,,,,,,,,,,,,"7,373"
2020,Barceloneta,ppd,Wanda Soler Rosario,female,"7,935",75.1,"2,453",23.2,171,1.6,,,,,,,,,,,,,,,,,"10,677"
2020,Barranquitas,pnp,Elliot Colón Blanco,male,"6,318",48.3,"6,483",49.6,276,2.1,,,,,,,,,,,,,,,,,"13,143"
2020,Bayamón,pnp,Ramón Luis Rivera Cruz,male,"10,957",17,"50,301",78,"3,261",5.1,,,,,,,,,,,,,,,,,"66,500"
2020,Cabo Rojo,pnp,Jorge Morales Wiscovitch,male,"7,051",45.5,"7,265",46.8,"1,194",7.7,,,,,,,,,,,,,,,,,"16,007"
2020,Caguas,ppd,William Miranda Torres,male,"20,370",44.8,"18,778",41.3,"6,300",13.9,,,,,,,,,,,,,,,,,"47,342"
2020,Camuy,pnp,Gabriel Hernández,male,"6,057",39.9,"8,666",57.2,440,2.9,,,,,,,,,,,,,,,,,"15,340"
2020,Canóvanas,pnp,Lornna Soto Villanueva,female,"6,337",43.8,"7,312",50.5,830,5.7,,,,,,,,,,,,,,,,,"14,950"
2020,Carolina,ppd,José Carlos Aponte Dalmau,male,"34,679",67.7,"12,800",25,"3,764",7.3,,,,,,,,,,,,,,,,,"53,835"
2020,Cataño,pnp,Felix Delgado,male,"1,904",18.8,"7,847",77.5,373,3.7,,,,,,,,,,,,,,,,,"10,336"
2020,Cayey,ppd,Rolando Ortiz Velázquez,male,"12,397",78.4,"2,523",16,897,5.7,,,,,,,,,,,,,,,,,"16,338"
2020,Ceiba,pnp,Samuel Rivera Báez,male,"1,505",30.7,"3,243",66,162,3.3,,,,,,,,,,,,,,,,,"4,999"
2020,Ciales,pnp,Alexander Burgos Otero,male,"3,672",42.6,"4,221",49,207,2.4,,,,,,,512,5.9,,,,,,,,,"8,795"
2020,Cidra,ppd,David Concepción González,male,"8,611",56,"5,660",36.8,"1,116",7.3,,,,,,,,,,,,,,,,,"16,016"
2020,Coamo,ppd,Juan Carlos García Padilla,male,"8,653",64.2,"4,435",32.9,398,3,,,,,,,,,,,,,,,,,"13,752"
2020,Comerío,ppd,José Santiago Rivera,male,"4,517",57.2,"2,910",36.8,170,2.2,301,3.8,,,,,,,,,,,,,,,"8,023"
2020,Corozal,pnp,Luis García,male,"5,971",38.6,"9,016",58.3,475,3.1,,,,,,,,,,,,,,,,,"15,613"
2020,Culebra,pnp,Edilberto Romero,male,558,48.3,570,49.3,28,2.4,,,,,,,,,,,,,,,,,"1,171"
2020,Dorado,ppd,Carlos López Rivera,male,"8,504",59.9,"5,156",36.3,532,3.7,,,,,,,,,,,,,,,,,"14,481"
2020,Fajardo,pnp,José Aníbal Meléndez Méndez,male,"1,706",19.7,"6,139",71,798,9.2,,,,,,,,,,,,,,,,,"9,813"
2020,Florida,pnp,José Gerena Polanco,male,"1,084",22.5,"3,447",71.6,284,5.9,,,,,,,,,,,,,,,,,"4,884"
2020,Guánica,ppd,Ismael Rodríguez Ramos,male,"2,384",49.6,"2,330",48.5,90,1.9,,,,,,,,,,,,,,,,,"7,360"
2020,Guayama,ppd,Eduardo Cintrón Suárez,male,"7,620",56.5,"5,228",38.8,641,4.8,,,,,,,,,,,,,,,,,"13,907"
2020,Guayanilla,pnp,Raúl Rivera Rodríguez,male,"3,375",39.8,"4,788",56.4,324,3.8,,,,,,,,,,,,,,,,,"8,610"
